theme,question,book,chapter,verseStart,verseEnd
Faith,How does Jeremiah contrast those who trust in man vs. those who trust in God?,Jeremiah,17,5,13
Healing,What do you think attracts tax collectors and sinners to Jesus? Why does Jesus choose to interact with them?,Matthew,13,13,17
Healing,Who might be the equivalent sinners or people we'd refuse to associate ourselves with today? Do we reflect this attitude to sinners in our lives and the chuch today? What are some of the challenges and benefits of doing this?,Matthew,13,13,17
Identity,What does it mean to be a new creation in Christ? How does our new identity in God affect the way we see ourselves and others?,2 Corinthians,5,11,21
Identity,How does our new identity in God give us hope and strength to face life's challenges?,2 Corinthians,5,11,21
Identity,"In what ways does our new identity in Christ break down barriers of race, ethnicity, and social status within the church?",Ephesians,4,1,6
Identity,What does it mean to be a new creation in Christ?,2 Corinthians,5,17,17
Identity,How does our new identity in God differ from our old identity?,2 Corinthians,5,17,17
Identity,How should our new identity in God impact the way we see ourselves?,2 Corinthians,5,17,17
Identity,How should our new identity in God impact the way we interact with others?,2 Corinthians,5,17,17
Identity,How can we grow in our understanding of our new identity in God?,2 Corinthians,5,17,17
Identity,In what ways can we be confident in our new identity in God?,2 Corinthians,5,17,17
Identity,How can we remind ourselves of our new identity in God when we face challenges or struggles?,2 Corinthians,5,17,17
Identity,How does our new identity in God impact our relationship with God?,2 Corinthians,5,17,17
Identity,How does our new identity in God impact our purpose in life?,2 Corinthians,5,17,17
Identity,How can we share our new identity in God with others?,2 Corinthians,5,17,17
Identity,"What is identity repair, and how does it relate to our new identity in Christ?",Colossians,3,1,14
Identity,"What are some common causes of identity trauma, and how do they impact our sense of self?",Colossians,3,1,14
Identity,How does our new identity in Christ offer us hope and healing in the face of identity trauma?,Colossians,3,1,14
Identity,How does our new identity in Christ differ from other ways of repairing our sense of self?,Colossians,3,1,14
Identity,What role does the knowledge of God play in the process of identity repair?,Colossians,3,1,14
Identity,How does the renewing of our mind in Christ impact our sense of self?,Colossians,3,1,14
Identity,What are some practical ways we can engage in the process of identity repair in Christ?,Colossians,3,1,14
Identity,How can we support others who are going through the process of identity repair?,Colossians,3,9,10
Identity,How does our new identity in Christ impact our relationship with others?,Colossians,3,9,10
Identity,In what ways can we be intentional about living out our new identity in Christ in our daily lives?,Colossians,3,9,10
Identity,How does Philippians 3:7-14 challenge us to rethink our priorities and our sense of self?,Philippians,3,7,14
Identity,How does Galatians 2:11-20 encourage us to live out our identity in Christ on a daily basis?,Galatians,2,11,20
Salvation,What does Ephesians 2 teach us about our salvation and identity in Christ?,Ephesians,2,4,10
Salvation,"How does the Holy Spirit bear witness to our identity as children of God, according to Romans 8?",Romans,8,1,17
Salvation,"What is the role of faith in our assurance of salvation, according to Ephesians 2?",Ephesians,2,4,10
Identity,What does it mean for our identity that Jesus is our Cornerstone? How does this affect our interactions with the world around us?,1 Peter,2,4,9
Faith,How does impatience affect our faith in God's ability to answer our prayers?,Psalm,27,14,14
Prayer,What does it mean to wait on the Lord?,Psalm,40,1,3
Faith,In what ways does God answer prayers that may not align with our expectations?,Isaiah,55,8,9
Prayer,Why is it important to trust in God's timing when waiting for an answer to our prayers?,Habakkuk,2,3,3
Faith,How can we grow in patience when waiting for God's answers to our prayers?,James,1,2,4
Prayer,What can we learn from biblical figures who had to wait for God's answers to their prayers?,Hebrews,11,1,40
Faith,How does our level of trust in God's sovereignty impact our ability to wait patiently for His answers?,Romans,8,28,30
Prayer,What are some practical ways we can surrender our impatience to God when waiting for His answers?,Philippians,4,6,7
Faith,How does trusting in God's faithfulness help us overcome anxiety and impatience?,Philippians,4,6,7
Prayer,"How can we pray with confidence, even when we are uncertain about God's timing?",Philippians,4,6,7
Faith,"What does it mean to rejoice in the Lord always, and how can we do so when we are waiting for His answers?",Philippians,4,4,4
Prayer,How does prayer help us develop patience and trust in God's timing?,Psalm,40,1,1
Faith,"How can we encourage ourselves to wait patiently for God's answers, even when it feels difficult?",Psalm,40,1,3
Prayer,In what ways can we actively seek God's will while we wait for His answers to our prayers?,Psalm,40,8,8
Faith,How can we develop a mindset of contentment while waiting for God's answers?,Philippians,4,11,13
Prayer,"What does it mean to ""take refuge in the Lord,"" and how can we do so when we are waiting for His answers?",Psalm,40,17,17
Faith,"How is it possible, emotionally speaking, to handle knowing that you have been placed into exile by God, and yet you are not without God?",Jeremiah,29,4,14
Faith,What does it mean to seek God with all your heart?,Jeremiah,29,4,14
Faith,What does it mean to find God in the context of the passage?,Jeremiah,29,4,14
Faith,What does it mean to recognize the Shepherd's voice?,John,10,1,14
Faith,In what ways did God's people in this passage struggle to hear from Him?,Jeremiah,29,4,14
Faith,How can we apply God's message to us today in seeking Him?,Jeremiah,29,4,14
